Date;Active Energy (kJ);Apple Exercise Time (min);z;Apple Stand Time (min);Blood Oxygen Saturation (%);Environmental Audio Exposure (dBASPL);Headphone Audio Exposure (dBASPL);Heart Rate [Min] (bpm);Heart Rate [Max] (bpm);Heart Rate [Avg] (bpm);Heart Rate Variability (ms);Physical Effort (MET);Respiratory Rate (count/min);Resting Energy (kJ);Resting Heart Rate (bpm);Sleep Analysis [Asleep] (hr);Sleep Analysis [Core] (hr);Sleep Analysis [Deep] (hr);Sleep Analysis [REM] (hr);Sleep Analysis [Awake] (hr);Step Count (steps);Walking + Running Distance (km);Walking Heart Rate Average (bpm);Walking Speed (km/hr);Walking Step Length (cm)
24.12.2024 00:00;222,37;;;;97;66,01;48,48;61;72;68,22;56,86;2,48;;6598;;;;;;;1389;0,885;;3,44;56,6
25.12.2024 00:00;1540;9;12;31;97,97;56,13;48,81;52;110;71,82;49,77;3,25;14,48;9168;63;2,583333333;3,225;0,475;0,45;0,016666667;2753;2,08;91,5;3,46;58
26.12.2024 00:00;3384;66;11;77;97,79;56,73;53,73;54;162;87,17;43,35;3,38;15,67;9117;63;0;5,991666667;0,958333333;0,983333333;0,733333333;3290;2,6;99;3,49;58,71
27.12.2024 00:00;3786;75;14;146;98,15;60;53,68;53;154;86,52;47,96;3,49;16,69;9255;64;0;4,883333333;1,258333333;1,716666667;0,166666667;7745;6,02;96;3,76;62,43
28.12.2024 00:00;1562;2;10;25;97,28;63,04;;52;96;69,66;43,07;3,15;15,47;9272;60;0;6,375;1;1,383333333;0,408333333;2004;1,55;;3,66;61,67
29.12.2024 00:00;3995;86;13;94;96,92;58,22;57,51;52;164;86,2;38,7;3,35;17,34;9342;65;2,908333333;2,675;0,266666667;0,475;0,116666667;4299;3,36;94,5;3,35;56,08
30.12.2024 00:00;2035;6;14;69;96,73;58,85;;55;102;70,61;44,54;3,25;19,43;9539;61;0;2,075;0,4;0,625;0,025;4320;3,35;83;3,55;59,45
31.12.2024 00:00;2803;35;13;121;97,83;65,16;;49;143;73,11;40,05;3,54;15,3;9536;62;3,733333333;5,116666667;0,483333333;2,266666667;0,233333333;7956;6,21;;3,65;59,5
01.01.2025 00:00;1404;16;8;60;95,88;65,58;;59;156;88,06;42,39;3,16;17,31;8731;68;;;;;;4207;3,13;87;3,4;55,3
02.01.2025 00:00;2306;18;14;99;97,09;62,83;51,85;48;111;73,11;56,1;3,54;15,77;9392;65;0;3,858333333;0,116666667;0,633333333;0,258333333;6436;4,99;95;4,07;65,12
03.01.2025 00:00;4499;80;17;172;97,65;59,61;58,62;51;158;86,3;52,93;3,65;17,04;9635;64;0;3,6;0,375;0,733333333;0,2;8865;6,96;100;4,11;65,1
04.01.2025 00:00;4731;92;11;149;97,81;57,92;69,23;48;165;91,05;56,34;3,65;15,77;9274;55;2,383333333;7,391666667;0,516666667;1,325;0,433333333;6349;4,95;118;4,11;65,94
05.01.2025 00:00;1571;6;11;56;97,47;57,75;78,08;53;150;72,14;48,47;3,39;15,92;9180;66;0;5,683333333;0,675;1;0,35;2880;2,18;100,5;3,92;60,33
